transaction_id,merchant_id,merchant_type,timestamp,hour,day_of_week,amount,location,device_id,is_new_device,transaction_count_1h,transaction_count_24h,amount_vs_avg_ratio,location_mismatch,is_fraud,fraud_type
TXN371843,UKM004,grocery,2025-01-24 21:44:00,21,4,15233.55,Medan,DEV_0048,0,3,11,1.1287118702702645,0,0,none
TXN192987,UKM003,service,2025-10-15 16:04:00,16,2,102716.98,Bandung,DEV_0043,0,4,38,0.8341921138649508,0,0,none
TXN304189,UKM001,food,2025-07-10 20:27:00,20,3,323848.95,Surabaya,DEV_0002,0,2,11,1.3070591932556033,0,0,none
TXN740984,UKM003,service,2025-08-19 18:34:00,18,1,532569.7,Bandung,DEV_0043,0,5,34,1.4171930787849871,0,0,none
TXN220105,UKM003,service,2025-04-17 04:31:00,4,3,17092.88,Bandung,DEV_0031,0,4,8,0.5733296495479379,0,0,none
TXN590793,UKM004,grocery,2025-01-13 19:00:00,19,0,1818848.9,Medan,DEV_0048,0,2,40,0.6953477683560036,0,0,none
TXN895075,UKM001,food,2025-09-03 18:41:00,18,2,124647.61,Surabaya,DEV_0008,0,3,33,0.6030730619777505,0,0,none
TXN473998,UKM003,service,2025-05-31 02:51:00,2,5,33855.63,Bandung,DEV_0006,0,7,33,1.183651485585575,0,0,none
TXN211593,UKM004,grocery,2025-06-13 21:30:00,21,4,421427.17,Medan,DEV_0042,0,4,17,0.648884920568698,0,0,none
TXN672133,UKM001,food,2025-10-16 06:37:00,6,3,97427.29,Surabaya,DEV_0008,0,1,34,1.356517982034425,0,0,none
TXN364357,UKM002,retail,2025-05-21 13:03:00,13,2,148694.88,Solo,DEV_0026,0,7,34,1.3984170666960902,0,0,none
TXN394850,UKM004,grocery,2025-03-07 06:00:00,6,4,130034.61,Medan,DEV_0030,0,4,20,1.3543664902661803,0,0,none
TXN281317,UKM003,service,2025-03-07 13:56:00,13,4,464478.14,Bandung,DEV_0001,0,1,5,1.405827709184429,0,0,none
TXN409284,UKM003,service,2025-05-04 21:28:00,21,6,83907.07,Bandung,DEV_0001,0,7,19,0.9518040140901777,0,0,none
TXN231179,UKM002,retail,2025-02-22 19:16:00,19,5,28950406.15,Solo,DEV_0031,0,1,28,29.08043834334749,0,1,unusual_amount
TXN384870,UKM004,grocery,2025-03-22 01:39:00,1,5,136949.85,Medan,DEV_0013,0,1,17,0.8722226202047302,0,0,none
TXN152046,UKM001,food,2025-06-02 07:06:00,7,0,223698.93,Surabaya,DEV_0018,0,8,14,1.7319257219017818,0,0,none
TXN376752,UKM005,beauty,2025-11-04 11:20:00,11,1,53791.76,Jakarta,DEV_0026,0,3,26,0.5449424750475045,0,0,none
TXN674105,UKM004,grocery,2025-02-24 10:24:00,10,0,812312.28,Medan,DEV_0030,0,8,6,1.165376776700413,0,0,none
TXN921355,UKM005,beauty,2025-06-20 03:58:00,3,4,162784.54,Jakarta,DEV_0026,0,3,37,1.3493427541150018,0,0,none
TXN710183,UKM005,beauty,2025-08-12 23:24:00,23,1,143195.96,Jakarta,DEV_0041,0,3,27,1.0683841786187829,0,0,none
TXN270261,UKM002,retail,2025-07-06 03:50:00,3,6,91091.47,Solo,DEV_0026,0,8,18,0.9827827890995373,0,0,none
TXN676898,UKM003,service,2025-03-30 01:49:00,1,6,71966.97,Bandung,DEV_0001,0,2,29,1.0927140505072104,0,0,none
TXN507135,UKM005,beauty,2025-03-23 13:20:00,13,6,317109.42,Jakarta,DEV_0026,0,7,22,0.7869153888546766,0,0,none
TXN949606,UKM003,service,2025-10-26 03:05:00,3,6,194117.44,Bandung,DEV_0001,0,3,17,1.1811344408658875,0,0,none
TXN837562,UKM005,beauty,2025-08-21 08:37:00,8,3,1401200.45,Jakarta,DEV_0047,0,2,30,1.1135061908058184,0,0,none
TXN739975,UKM001,food,2025-01-30 18:05:00,18,3,4314049.62,Surabaya,DEV_0179,1,6,9,1.4516635575717485,1,1,identity_theft
TXN908801,UKM005,beauty,2025-07-06 05:47:00,5,6,118403.2,Jakarta,DEV_0041,0,5,33,0.6728823403577684,0,0,none
TXN820650,UKM004,grocery,2025-10-15 12:31:00,12,2,324006.35,Medan,DEV_0013,0,6,10,1.0206042128951616,0,0,none
TXN267037,UKM005,beauty,2025-04-18 07:23:00,7,4,51389.11,Jakarta,DEV_0047,0,1,38,0.7452581060461024,0,0,none
TXN505116,UKM001,food,2025-10-11 09:04:00,9,5,196514.28,Surabaya,DEV_0016,0,8,40,0.5490571140645681,0,0,none
TXN183312,UKM002,retail,2025-12-27 04:02:00,4,5,49949.51,Solo,DEV_0026,0,2,14,1.0018819468553255,0,0,none
TXN582879,UKM003,service,2025-08-15 06:43:00,6,4,118209.74,Bandung,DEV_0031,0,8,12,1.1820286450619222,0,0,none
TXN213461,UKM003,service,2025-07-13 02:59:00,2,6,376779.95,Bandung,DEV_0043,0,8,39,0.7297236644337541,0,0,none
TXN667205,UKM005,beauty,2025-10-28 10:24:00,10,1,546738.81,Jakarta,DEV_0030,0,7,21,0.6993672686098675,0,0,none
TXN924733,UKM002,retail,2025-11-02 04:20:00,4,6,128887.59,Solo,DEV_0023,0,7,30,0.252156850181394,0,0,none
TXN387224,UKM003,service,2025-08-01 10:24:00,10,4,10144.78,Bandung,DEV_0031,0,8,11,1.001561578568484,0,0,none
TXN270128,UKM001,food,2025-11-02 12:09:00,12,6,50097.13,Surabaya,DEV_0008,0,3,33,1.1688907710071712,0,0,none
TXN279820,UKM002,retail,2025-11-04 12:54:00,1,1,8750641.07,Jakarta,DEV_0117,1,7,30,1.2004639763308413,1,1,account_takeover
TXN522375,UKM004,grocery,2025-05-08 01:23:00,1,3,191292.1,Medan,DEV_0013,0,8,40,1.3678313756002205,0,0,none
TXN426317,UKM003,service,2025-08-13 11:33:00,11,2,64668.02,Bandung,DEV_0031,0,7,22,0.9025774194754078,0,0,none
TXN179046,UKM001,food,2025-08-25 07:55:00,7,0,131809.96,Surabaya,DEV_0018,0,2,8,1.4614109699397908,0,0,none
