transaction_id,merchant_id,merchant_type,amount,hour,day_of_week,location,device_id,is_new_device,transaction_count_1h,transaction_count_24h,amount_vs_avg_ratio,location_mismatch
TXN_001,UKM001,food,150000,10,1,Jakarta,DEV_0001,0,2,8,1.2,0
TXN_002,UKM001,food,2500000,2,3,Surabaya,DEV_9999,1,12,35,15.5,1
TXN_003,UKM002,retail,350000,14,2,Solo,DEV_0002,0,1,5,1.8,0
TXN_004,UKM002,retail,8000000,1,5,Medan,DEV_8888,1,18,50,22.0,1
TXN_005,UKM003,service,500000,11,3,Bandung,DEV_0003,0,3,10,2.1,0
TXN_006,UKM003,service,4500000,3,6,Jakarta,DEV_7777,1,8,25,12.3,1
TXN_007,UKM004,grocery,75000,9,1,Medan,DEV_0004,0,1,4,0.9,0
TXN_008,UKM004,grocery,3200000,23,2,Bandung,DEV_6666,1,15,42,18.7,1
TXN_009,UKM005,beauty,280000,15,4,Surabaya,DEV_0005,0,2,7,1.5,0
TXN_010,UKM005,beauty,6700000,4,1,Solo,DEV_5555,1,20,60,25.0,1
TXN_011,UKM001,food,120000,12,2,Jakarta,DEV_0001,0,1,6,1.1,0
TXN_012,UKM002,retail,450000,16,3,Solo,DEV_0002,0,2,9,2.3,0
TXN_013,UKM003,service,180000,10,4,Bandung,DEV_0003,0,1,3,1.0,0
TXN_014,UKM001,food,9200000,2,6,Semarang,DEV_4444,1,14,38,19.5,1
TXN_015,UKM004,grocery,95000,8,5,Medan,DEV_0004,0,1,5,1.2,0
TXN_016,UKM005,beauty,320000,13,1,Surabaya,DEV_0005,0,3,11,1.7,0
TXN_017,UKM002,retail,7500000,1,3,Yogyakarta,DEV_3333,1,16,45,20.8,1
TXN_018,UKM003,service,220000,11,2,Bandung,DEV_0003,0,2,8,1.3,0
TXN_019,UKM004,grocery,5800000,3,4,Jakarta,DEV_2222,1,11,32,16.2,1
TXN_020,UKM001,food,175000,14,5,Jakarta,DEV_0001,0,2,7,1.4,0
